name	pattern	example	description
tun	http[s]{0,1}://tun[.]fi/[a-zA-Z]+[.][0-9]+	http://tun.fi/GAVK.2	various Finnish natural history museums
oulu	http[s]{0,1}://id[.][a-z]+[.]oulu[.]fi/[a-zA-Z]+[.][0-9]+	http://id.zmuo.oulu.fi/MU.1	Museums at University of Oulu, Finland
tur	http[s]{0,1}://mus[.]utu[.]fi/[a-zA-Z]+[.][0-9]+	http://mus.utu.fi/TFN.1	Natural History Museum, University of Turku, Finland
huh	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/[a-fA-F0-9]{8}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{12}	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/413bd724-7a92-41fe-befa-c7e1678b54a7	Harvard University Herbarium
mcz	http[s]{0,1}://mczbase[.]mcz[.]harvard[.]edu/guid/[a-zA-Z]+:[a-zA-Z]:[0-9]+	http://mczbase.mcz.harvard.edu/guid/MCZ:Mamm:53924	Harvard Museum of Comparative Zoology
kew	http[s]{0,1}://specimens[.]kew[.]org/herbarium/[a-zA-Z][0-9]+	http://specimens.kew.org/herbarium/K001116483	Kew Botanical Gardens
guano	[^a-zA-Z][Gg][Uu][Aa][Nn][Oo][^a-zA-Z]	guano	https://en.wikipedia.org/wiki/Guano
jacq	http[s]{0,1}://[a-z]+[.]jacq[.]org/[A-Z-]+[0-9]+	https://je.jacq.org/JE07002985	https://jacq.org - a jointly administered herbarium management system and specimen database
usnpc	USNPC\s+#\s+[0-9]{6}|United\s+States\s+National\s+Parasite\s+Collection\s+[0-9]{1,6}	USNPC # 080155	US National Parasite Collection Catalog pattern as used by Smithsonian and Arctos: https://naturalhistory.si.edu/research/invertebrate-zoology/usnpc . See also https://github.com/globalbioticinteractions/msb-para/issues/4 ; and http://n2t.net/ark:/65665/386ad940e-e24f-4c20-b874-2a94371fe10e 
wikidata	http[s]{0,1}://www[.]wikidata[.]org/entity/[QP]{1}[0-9]+|http[s]{0,1}://www[.]wikidata[.]org/wiki/Q[0-9]+|https://www[.]wikidata[.]org/wiki/Property:P[0-9]+	http://www.wikidata.org/entity/Q30034	https://wikidata.org
bionomia	http[s]{0,1}://bionomia.net/Q[0-9]+|http[s]{0,1}://bionomia.net/0000-00[0-9]{2}-[0-9]{4}-[0-9]{4}	https://bionomia.net/Q98828272	Bionomia links natural history specimens to the world's collectors.
field	http[s]{0,1}://db.fieldmuseum.org/[a-fA-F0-9]{8}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{12}	https://db.fieldmuseum.org/d1b8ecb4-61df-4882-90a8-e046d4782a7c	The Field Museum of Natural History (FMNH), also known as The Field Museum, is a natural history museum in Chicago, Illinois, and is one of the largest such museums in the world.
new_species	(^|[^\w])(([Nn] [Ss][Pp])|([Nn]\.[Ss][Pp]\.)|([Nn]\. [Ss][Pp]\.)|([Nn][Ee][Ww] [Ss][Pp][Ee][Cc][Ii][Ee][Ss])|([Nn][Ee][Ww] [Ss][Pp]\.))(\z|[^\w])	Prochiloneurus n. sp.	Pattern provided by Katja Seltmann https://orcid.org/0000-0001-5354-6048 . See also https://github.com/bio-guoda/preston-identifier-registry/issues/2
